timestamp,mass_flow_raw,density,GVF,WC,mass_flow_true
2026-03-15 08:00:00,16.52,978.1,0.005,0.522,16.5
2026-03-15 08:01:00,16.62,976.8,0.0,0.51,16.5
2026-03-15 08:02:00,16.58,970.1,0.008,0.518,16.5
2026-03-15 08:03:00,16.31,962.0,0.018,0.515,16.5
2026-03-15 08:04:00,16.47,975.2,0.002,0.529,16.5
2026-03-15 08:05:00,16.53,977.1,0.003,0.544,16.5
2026-03-15 08:06:00,16.34,962.1,0.022,0.511,16.5
2026-03-15 08:07:00,16.66,965.8,0.015,0.526,16.5
2026-03-15 08:08:00,16.55,977.4,0.003,0.575,16.5
2026-03-15 08:09:00,16.53,963.5,0.014,0.571,16.5
2026-03-15 08:10:00,16.57,973.7,0.005,0.572,16.5
2026-03-15 08:11:00,16.64,973.2,0.006,0.583,16.5
2026-03-15 08:12:00,16.44,965.5,0.014,0.597,16.49
2026-03-15 08:13:00,16.3,982.6,0.0,0.587,16.49
2026-03-15 08:14:00,16.55,981.1,0.0,0.589,16.49
2026-03-15 08:15:00,16.34,968.9,0.009,0.616,16.49
2026-03-15 08:16:00,16.38,975.0,0.006,0.6,16.49
2026-03-15 08:17:00,16.47,961.6,0.02,0.635,16.49
2026-03-15 08:18:00,16.63,973.9,0.009,0.6,16.49
2026-03-15 08:19:00,16.47,978.7,0.005,0.662,16.49
2026-03-15 08:20:00,16.34,944.4,0.034,0.658,16.49
2026-03-15 08:21:00,16.64,960.4,0.018,0.661,16.48
2026-03-15 08:22:00,16.4,955.7,0.022,0.682,16.48
2026-03-15 08:23:00,16.83,971.4,0.008,0.703,16.48
2026-03-15 08:24:00,16.46,963.2,0.018,0.697,16.48
2026-03-15 08:25:00,16.07,956.9,0.026,0.647,16.48
2026-03-15 08:26:00,16.51,966.1,0.014,0.665,16.48
2026-03-15 08:27:00,16.36,949.7,0.03,0.685,16.47
2026-03-15 08:28:00,16.55,959.3,0.021,0.705,16.47
2026-03-15 08:29:00,16.43,953.3,0.026,0.721,16.47
2026-03-15 08:30:00,16.32,961.3,0.023,0.703,16.47
2026-03-15 08:31:00,16.01,928.8,0.049,0.728,16.46
2026-03-15 08:32:00,16.26,949.8,0.031,0.715,16.46
2026-03-15 08:33:00,16.21,962.7,0.022,0.725,16.46
2026-03-15 08:34:00,16.14,939.3,0.042,0.715,16.46
2026-03-15 08:35:00,16.42,958.0,0.022,0.731,16.46
2026-03-15 08:36:00,16.5,942.7,0.037,0.729,16.45
2026-03-15 08:37:00,16.42,963.3,0.017,0.743,16.45
2026-03-15 08:38:00,16.14,959.3,0.024,0.789,16.45
2026-03-15 08:39:00,16.29,936.2,0.04,0.755,16.44
2026-03-15 08:40:00,16.36,937.4,0.047,0.833,16.44
2026-03-15 08:41:00,16.12,936.1,0.042,0.796,16.44
2026-03-15 08:42:00,16.2,940.2,0.04,0.796,16.44
2026-03-15 08:43:00,16.22,940.8,0.039,0.78,16.43
2026-03-15 08:44:00,16.16,953.4,0.028,0.817,16.43
2026-03-15 08:45:00,16.32,940.6,0.037,0.797,16.43
2026-03-15 08:46:00,16.18,941.2,0.04,0.817,16.42
2026-03-15 08:47:00,16.17,928.5,0.057,0.871,16.42
2026-03-15 08:48:00,16.01,927.8,0.05,0.823,16.42
2026-03-15 08:49:00,16.18,950.6,0.03,0.853,16.41
2026-03-15 08:50:00,16.23,927.5,0.052,0.821,16.41
2026-03-15 08:51:00,16.1,935.6,0.046,0.839,16.41
2026-03-15 08:52:00,16.42,936.7,0.044,0.881,16.4
2026-03-15 08:53:00,16.02,921.8,0.058,0.837,16.4
2026-03-15 08:54:00,16.08,919.0,0.063,0.891,16.39
2026-03-15 08:55:00,16.18,921.6,0.063,0.873,16.39
2026-03-15 08:56:00,15.92,934.0,0.047,0.852,16.39
2026-03-15 08:57:00,15.83,929.7,0.053,0.881,16.38
